h,oneu,onei,twou,twoi,threeu,threei,trapu,trapil
1,0.960170286650366,0.833924274663138,0.734132844522451,0.544076050155448,0.392323232818508,0.497488606229617,0.359502185463226,0.379528501801074
0.1,0.265913314172338,0.21062236738266,0.0168648178661546,0.0191712274825185,0.000889301200302728,0.000656042405352664,0.00400721386808756,0.00513996290176731
0.01,0.0309111287960309,0.0237467375923023,0.000171458567310545,0.000208546568766826,9.25557506603614e-06,6.88413139238175e-06,4.01199253046436e-05,5.23322784755846e-05
