h,oneu,onei,twou,twoi,threeu,threei,trapu,trapil
0.1,1.72084568816899e-15,0.489434837048466,1.72084568816899e-15,0.102337779007925,1.77635683940025e-15,0.0240339187153078,1.55431223447522e-15,0.0521923058018285
0.05,1.80411241501588e-15,0.246233188097244,1.74860126378462e-15,0.0257748659546748,1.77635683940025e-15,0.00303403615320524,1.88737914186277e-15,0.0129512387922177
0.025,1.77635683940025e-15,0.123306650674879,1.77635683940025e-15,0.00645565722151487,1.80411241501588e-15,0.000402895135465986,3.66373598126302e-15,0.00323181405766571
