h,oneu,oneueoc,oneuu,oneuueoc,onei,oneieoc,twou,twoueoc,twouu,twouueoc,twoi,twoieoc,threeu,threeueoc,threeuu,threeuueoc,threei,threeieoc,trapu,trapueoc,trapuu,trapuueoc,trapil,trapileoc
0.1,1.72084568816899e-15,0,0.046203698597523,0,0.046203698597523,0,1.77635683940025e-15,0,0.00956747671404934,0,0.00956747671404935,0,1.66533453693773e-15,0,0.0028518141028049,0,0.00285181410280488,0,1.88737914186277e-15,0,0.00334386129602532,0,0.00334386129602574,0
0.05,1.80411241501588e-15,-0.0681715026415792,0.023393750592805,0.98188516405143,0.0233937505928051,0.981885164051425,1.74860126378462e-15,0.0227200765000834,0.00245400142034985,1.96300240055492,0.00245400142034985,1.96300240055492,1.72084568816899e-15,-0.0473057147783566,0.000364514456711013,2.96783200356156,0.00036451445671104,2.96783200356144,1.66533453693773e-15,0.180572245641821,0.000836709307003247,1.99871661752855,0.000836709307003414,1.99871661752844
0.025,1.80411241501588e-15,0,0.0117769201397344,0.990160879910746,0.0117769201397345,0.990160879910741,1.77635683940025e-15,-0.0227200765000835,0.000626366649779816,1.97005677898054,0.000626366649779803,1.97005677898057,1.77635683940025e-15,-0.0458036896131248,4.92846382022516e-05,2.88676609294464,4.92846382023071e-05,2.88676609294313,3.02535774210355e-15,-0.861293729168408,0.000209223358501598,1.99968255415829,0.00020922335850096,1.99968255416298
